FvFm	1:ETR	Treatment	Rack	sampling_day
0.214	1943	control	C3	7
0.428	3885.7	control	C3	7
0.27	2454	control	C3	7
0.159	1441.2	control	C3	7
0.331	3007.6	control	C3	7
0.357	3236.2	shade	S1	7
0.384	3486.4	shade	S1	7
0.459	4167.9	shade	S1	7
0.317	2870.6	shade	S1	7
0.519	4698.3	shade	S1	7
0.604	5486.6	shade	S1	7
0.534	4844.4	shade	S1	7
0.596	5414.4	shade	S1	7
0.609	5533.5	shade	S1	7
0.603	5477.3	shade	S1	7
0.42	3796.7	shade	S2	7
0.533	4825.5	shade	S2	7
0.489	4437.4	shade	S2	7
0.577	5233.6	shade	S2	7
0.484	4392.9	shade	S2	7
0.521	4730	shade	S2	7
0.43	3898.8	shade	S2	7
0.556	5047.8	shade	S2	7
0.58	5269.1	shade	S2	7
0.637	4333.6	shade	S3	7
0.642	4245.8	shade	S3	7
0.655	4223.9	shade	S3	7
0.626	4081.8	shade	S3	7
0.647	4721.2	shade	S3	7
0.72	5652.5	shade	S3	7
0.628	4998	shade	S3	7
0.674	5266.4	shade	S3	7
0.694	5244.3	shade	S3	7
0.316	5036.5	control	C1	8
0.346	4570.3	control	C1	8
0.257	2899.1	control	C1	8
0.302	3689	control	C1	8
0.3	510.1	control	C1	8
0.21	4639	control	C1	8
0.301	2652.5	control	C2	8
0.208	2223.5	control	C2	8
0.228	4030.1	control	C2	8
0.273	4968.6	control	C2	8
0.305	4067.3	control	C2	8
0.292	4456.4	control	C2	8
0.423	3049.5	shade	S2	8
0.557	4741.8	shade	S2	8
0.499	3869.5	shade	S2	8
0.607	2415.4	shade	S2	8
0.477	2652.5	shade	S2	8
0.576	2223.5	shade	S2	8
0.421	4030.1	shade	S3	8
0.277	4968.6	shade	S3	8
0.404	4067.3	shade	S3	8
0.367	4456.4	shade	S3	8
0.509	3049.5	shade	S3	8
0.507	4741.8	shade	S3	8
0.128	1138.9	control	C1	9
0.142	1100.9	control	C1	9
0.369	3145.5	control	C1	9
0.183	1669	control	C1	9
0.148	708.8	control	C1	9
0.542	3111.8	control	C1	9
0.211	1871.9	control	C1	9
0.355	3236.4	control	C1	9
0.229	2087.5	control	C1	9
0.471	1884	shade	S1	9
0.262	749.9	shade	S1	9
0.452	3012.4	shade	S1	9
0.513	1834.2	shade	S1	9
0.417	2322.9	shade	S1	9
0.628	4498.4	shade	S1	9
0.545	2042.7	shade	S1	9
0.484	2223.7	shade	S1	9
0.642	3566.5	shade	S1	9
0.399	1702.6	control	C2	9
0.111	999.7	control	C2	9
0.29	1675.2	control	C2	9
0.366	3327.9	control	C2	9
0.597	3016.4	control	C2	9
0.2	1077.4	control	C2	9
0.59	3154.2	control	C2	9
0.59	3235.8	control	C2	9
0.244	2043.9	control	C2	9
0.626	3450.8	shade	S2	9
0.614	4693.4	shade	S2	9
0.644	3445.1	shade	S2	9
0.623	3376.7	shade	S2	9
0.453	3091	shade	S2	9
0.562	5118.3	shade	S2	9
0.609	4213.5	shade	S2	9
-	-	shade	S2	9
0.686	4359.5	shade	S2	9
-	-	shade	S3	9
0.581	3479	shade	S3	9
0.633	4208.8	shade	S3	9
0.422	3362.2	shade	S3	9
0.637	4405	shade	S3	9
0.662	4765.6	shade	S3	9
-	-	shade	S3	9
0.69	5070.1	shade	S3	9
0.663	4934.3	shade	S3	9
0.541	4576.4	control	C3	9
0.488	4439.8	control	C3	9
0.402	3658.8	control	C3	9
0.615	5331.6	control	C3	9
-	-	control	C3	9
0.255	2320.4	control	C3	9
0.492	4223.1	control	C3	9
-	-	control	C3	9
0.327	2973.5	control	C3	9
